"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1785","User login with wrong email or password","LMS system","Sat Jun 20 07:49:46 UTC 2026","passed","Sat Jun 20 07:49:48 UTC 2026","Authorization","Authentication","",""
"","2246","Registration with correct email, username and password","LMS system","Sat Jun 20 07:49:48 UTC 2026","passed","Sat Jun 20 07:49:51 UTC 2026","Registration","Authentication","",""
"","2641","Create course","LMS system","Sat Jun 20 07:49:53 UTC 2026","passed","Sat Jun 20 07:49:56 UTC 2026","Courses","Courses","",""
"","1760","Check displaying of empty courses list","LMS system","Sat Jun 20 07:49:53 UTC 2026","passed","Sat Jun 20 07:49:54 UTC 2026","Courses","Courses","",""
"","1986","User login with wrong email or password","LMS system","Sat Jun 20 07:49:44 UTC 2026","passed","Sat Jun 20 07:49:46 UTC 2026","Authorization","Authentication","",""
"","3248","Edit course","LMS system","Sat Jun 20 07:49:55 UTC 2026","passed","Sat Jun 20 07:49:58 UTC 2026","Courses","Courses","",""
"","1735","Navigation from login page to registration page","LMS system","Sat Jun 20 07:49:50 UTC 2026","passed","Sat Jun 20 07:49:52 UTC 2026","Authorization","Authentication","",""
"","2143","Check displaying of dashboard page","LMS system","Sat Jun 20 07:49:56 UTC 2026","passed","Sat Jun 20 07:49:59 UTC 2026","Dashboard","Dashboard","",""
"","3263","User login with correct email and password","LMS system","Sat Jun 20 07:49:46 UTC 2026","passed","Sat Jun 20 07:49:49 UTC 2026","Authorization","Authentication","",""
"","2122","User login with wrong email or password","LMS system","Sat Jun 20 07:49:44 UTC 2026","passed","Sat Jun 20 07:49:46 UTC 2026","Authorization","Authentication","",""
